date,code,inst,corp,indiv,foreign
20210309,000060,-1344404650,-963907500,567365000,1740947150
20210310,000060,2626804900,-918387650,-1324530000,-383887250
20210311,000060,449025700,27846400,-2356261100,1879389000
20210312,000060,-1119894800,25423150,866010200,228461450
20210315,000060,2362575750,-8070000,-2269028300,-85477450
20210316,000060,2522920100,87528450,-3056902000,446453450
20210317,000060,-709577900,277339250,945068800,-512830150
20210318,000060,940988600,114717050,1403403850,-2459109500
20210319,000060,341794700,-1813683550,1474945500,-3056650
20210322,000060,1141266100,-1416020550,121526600,153227850
20210323,000060,1160477750,-258265850,-701403400,-200808500
20210324,000060,-1297563600,71218650,578820500,647524450
20210325,000060,-2425978400,50137100,790347600,1585493700
20210326,000060,-719835000,214300000,608071200,-102536200
20210329,000060,639584850,-2830200,-644507850,7753200
20210330,000060,1722821150,-2775000,-3250762700,1530716550
20210331,000060,-984802600,45189600,-6335586250,7275199250
20210401,000060,1652773800,-13812900,-1414312150,-224648750
20210402,000060,2014299700,-1895000,-568070200,-1444334500
20210405,000060,1063241100,-21720100,-1067910450,26389450
20210406,000060,723022500,26192450,-474302450,-274912500
20210407,000060,1819541200,34005950,-1753256700,-100290450
20210408,000060,-1950854400,51109000,2687411750,-787666350
20210409,000060,-109128050,67974850,132904550,-91751350
20210412,000060,316346500,149491400,-451340050,-14497850
20210413,000060,443999600,76094250,-616545150,96451300
20210414,000060,97361800,132353650,-216899900,-12815550
20210415,000060,-435571650,-16853050,176825700,275599000
20210416,000060,-1820146050,-162997950,2546355050,-563211050
20210419,000060,-695353350,16670000,555739500,122943850
20210420,000060,972769200,-125624400,-4076249250,3229104450
20210421,000060,-1141270300,15459650,2532853100,-1407042450
20210422,000060,-5870375350,66995200,2459967400,3343412750
20210423,000060,-828098450,-24540300,-671030550,1523669300
20210426,000060,-244998950,-138700800,-3108262950,3491962700
20210427,000060,1214482700,-63310050,-417722150,-733450500
20210428,000060,3889240950,165399750,-3048314300,-1006326400
