date,code,market_cap,volume,trade_value,shares
20211005,000040,91138224864,449814,428813803,96137368
20211006,000040,91426636968,400610,389799660,96137368
20211007,000040,94406895376,215555,210849693,96137368
20211008,000040,95560543792,220256,217974869,96137368
20211012,000040,94887582216,242901,241109831,96137368
20211013,000040,97098741680,291739,292135532,96137368
20211014,000040,97579428520,211123,212895990,96137368
20211015,000040,97579428520,257664,261241765,96137368
20211018,000040,97098741680,179335,180634635,96137368
20211019,000040,97579428520,139673,141301015,96137368
20211020,000040,96618054840,313505,315393480,96137368
20211021,000040,98060115360,289710,292326596,96137368
20211022,000040,96618054840,253556,254725416,96137368
20211025,000040,96618054840,239902,240052642,96137368
20211026,000040,99982862720,590258,611882435,96137368
20211027,000040,97098741680,270020,276987015,96137368
20211028,000040,99502175880,1518400,1610040700,96137368
20211029,000040,99502175880,322771,335420415,96137368
20211101,000040,96618054840,261019,266048905,96137368
20211102,000040,97098741680,316099,318960755,96137368
20211103,000040,95945093264,327098,328065518,96137368
20211104,000040,95848955896,318823,318832500,96137368
20211105,000040,95848955896,319624,318728762,96137368
20211108,000040,94983719584,249899,246646644,96137368
20211109,000040,94695307480,230532,227814667,96137368
20211110,000040,92868697488,196572,191814557,96137368
20211111,000040,90561400656,319267,303032511,96137368
20211112,000040,94310758008,305046,295834428,96137368
20211115,000040,94695307480,215719,211797362,96137368
20211116,000040,95945093264,329918,331563126,96137368
20211117,000040,94503032744,215196,213017616,96137368
20211118,000040,93541659064,237063,231038852,96137368
20211119,000040,93445521696,192049,187087965,96137368
20211122,000040,91907323808,272003,260482362,96137368
20211123,000040,90561400656,321582,304948588,96137368
20211124,000040,90561400656,174731,165092688,96137368
20211125,000040,87004318040,475042,436669675,96137368
20211126,000040,86523631200,486366,440530106,96137368
20211129,000040,84985433312,394172,344806646,96137368
20211130,000040,79794015440,440001,378279111,96137368
20211201,000040,82774273848,291852,247508373,96137368
20211202,000040,85850669624,239241,208678304,96137368
20211203,000040,85754532256,203069,180649187,96137368
20211206,000040,83927922264,413952,359552450,96137368
20211207,000040,84120197000,191857,167819619,96137368
20211208,000040,84024059632,178043,156015622,96137368
20211209,000040,84312471736,184543,162190870,96137368
20211210,000040,84600883840,108016,94783940,96137368
20211213,000040,85562257520,157809,140166971,96137368
20211214,000040,84216334368,188596,166252913,96137368
20211215,000040,84600883840,155934,137360018,96137368
20211216,000040,85081570680,236778,210347061,96137368
20211217,000040,84793158576,132646,116920152,96137368
20211220,000040,84120197000,147076,129270572,96137368
20211221,000040,84312471736,285569,250210678,96137368
20211222,000040,83158823320,342331,298622265,96137368
20211223,000040,82678136480,236141,203496216,96137368
20211224,000040,83543372792,172531,149388901,96137368
20211227,000040,83639510160,133244,115832617,96137368
20211228,000040,83158823320,187269,162405300,96137368
20211229,000040,83254960688,131064,112994649,96137368
20211230,000040,83158823320,225930,195888793,96137368
20210104,000060,1718906250000,876899,12440812750,120625000
20210105,000060,1694781250000,753918,10500125450,120625000
20210106,000060,1718906250000,488126,6916204850,120625000
20210107,000060,1773187500000,588139,8538167650,120625000
20210108,000060,1779218750000,636942,9384206150,120625000
20210111,000060,1712875000000,619909,8946731350,120625000
20210112,000060,1700812500000,383200,5418859550,120625000
20210113,000060,1743031250000,578264,8296726250,120625000
20210114,000060,1815406250000,743867,11036228400,120625000
