date,code,name,trade_value,rank
20240131,321820,,19494118890,169
20240131,003240,,18791497000,170
20240131,014680,,18700412000,171
20240131,085670,,18500592890,172
20240131,094360,,18004989250,173
20240131,077500,,17760731250,174
20240131,457550,,17733449080,175
20240131,010120,,17522394200,176
20240131,002790,,17448702750,177
20240131,095340,,17383595100,178
20240131,039130,,17339364700,179
20240131,111770,,17082365750,180
20240131,036570,,16877209400,181
20240131,053300,,16605492650,182
20240131,017860,,16505085100,183
20240131,263800,,16481687420,184
20240131,094170,,16167879400,185
20240131,018260,,16137174230,186
20240131,010060,,16086324900,187
20240131,290660,,16074040746,188
20240131,445090,,15939804100,189
20240131,000100,,15772447900,190
20240131,161580,,15608761440,191
20240131,009410,,15575306800,192
20240131,011790,,15371188600,193
20240131,069960,,15309893700,194
20240131,036930,,15300856700,195
20240131,323410,,15187327650,196
20240131,001040,,15172939000,197
20240131,278650,,15168119290,198
20240131,015590,,15082544652,199
20240131,272210,,15052346370,200
20240229,005930,,1543929097874,1
20240229,000270,,721606987100,2
20240229,468760,,578487134905,3
20240229,000660,,530044185000,4
20240229,005380,,512342792000,5
20240229,041190,,459597582950,6
20240229,450080,,422496938000,7
20240229,196170,,398407220500,8
20240229,035420,,397064235700,9
20240229,278470,,356988021500,10
20240229,348370,,337263139500,11
20240229,012450,,308366635500,12
20240229,065350,,304253728000,13
20240229,041020,,303521212730,14
20240229,247540,,290151140500,15
20240229,086520,,268033456000,16
20240229,028300,,251979814800,17
20240229,068270,,246923123700,18
20240229,042700,,227880670700,19
20240229,035900,,224640436700,20
20240229,360350,,222443768750,21
20240229,095500,,222273830650,22
20240229,105560,,213039922032,23
20240229,008770,,212207850300,24
20240229,473050,,204453367400,25
20240229,051910,,204300797000,26
20240229,005490,,184865090000,27
20240229,005935,,181720352455,28
20240229,010620,,172078673300,29
20240229,180640,,168155528000,30
20240229,035720,,164098960200,31
20240229,013990,,157666474260,32
20240229,199550,,151102997400,33
20240229,055550,,148040682900,34
20240229,443670,,143011980560,35
20240229,373220,,142735468500,36
20240229,028260,,139126443800,37
20240229,457190,,135419932500,38
20240229,256840,,133530255580,39
20240229,036930,,130313638350,40
