timestamp,kospi,kosdaq
2026-09-18T13:45:07,6887.73,828.20
2026-09-18T13:55:05,6896.43,827.74
2026-09-18T14:05:07,6897.58,827.38
2026-09-18T14:15:06,6900.03,827.32
2026-09-18T14:25:06,6904.08,827.46
2026-09-18T14:35:06,6902.44,826.77
2026-09-18T14:45:06,6899.88,827.03
2026-09-18T14:55:06,6885.61,826.49
2026-09-18T15:05:06,6882.02,826.91
2026-09-18T15:15:06,6885.78,826.91
2026-09-18T15:25:06,6875.72,826.95
2026-09-21T09:05:08,6979.56,827.11
2026-09-21T09:15:07,6962.22,825.33
2026-09-21T09:25:07,6963.20,827.14
2026-09-21T09:35:07,6960.01,831.18
2026-09-21T09:45:08,6952.71,830.81
2026-09-21T09:55:10,6960.39,831.66
2026-09-21T10:05:06,6979.28,834.57
2026-09-21T10:15:10,7005.43,836.91
2026-09-21T10:25:08,6999.94,837.92
2026-09-21T10:35:06,6994.64,837.33
2026-09-21T10:45:08,7003.02,837.18
2026-09-21T10:55:06,6993.21,836.78
2026-09-21T11:05:06,6994.03,836.48
2026-09-21T11:15:08,6996.61,836.51
2026-09-21T11:25:06,6993.82,836.56
2026-09-21T11:35:07,6989.94,835.84
2026-09-21T11:45:06,6998.71,835.44
2026-09-21T11:55:08,7000.97,835.44
2026-09-21T12:05:06,7011.50,834.86
2026-09-21T12:15:08,7012.69,834.42
2026-09-21T12:25:08,7019.70,834.82
2026-09-21T12:35:07,7010.39,835.11
2026-09-21T12:45:09,7011.86,835.58
2026-09-21T12:55:07,7018.41,836.00
2026-09-21T13:05:06,7021.30,836.09
2026-09-21T13:15:07,7016.90,834.82
2026-09-21T13:25:10,7026.11,835.45
2026-09-21T13:35:06,7020.12,835.07
2026-09-21T13:45:07,7019.79,834.81
2026-09-21T13:55:07,7007.01,833.68
2026-09-21T14:05:06,6997.96,833.66
2026-09-21T14:15:06,6991.97,833.43
2026-09-21T14:25:06,6991.38,833.60
2026-09-21T14:35:09,6996.62,833.70
2026-09-21T14:45:07,6995.61,834.17
2026-09-21T14:55:07,6997.11,834.06
2026-09-21T15:05:07,6989.68,834.53
2026-09-21T15:15:06,6993.21,835.22
2026-09-21T15:25:07,6999.96,835.86
2026-09-22T09:05:09,7171.44,845.35
2026-09-22T09:15:06,7155.61,843.74
2026-09-22T09:25:05,7136.89,841.04
2026-09-22T09:35:07,7160.42,843.96
2026-09-22T09:45:05,7157.22,843.28
2026-09-22T09:55:06,7143.87,844.64
2026-09-22T10:05:07,7136.20,845.21
2026-09-22T10:15:07,7120.71,843.63
2026-09-22T10:25:07,7122.01,842.85
2026-09-22T10:35:06,7115.71,843.56
