timestamp,mode,code,name,action,reason
2026-09-01T15:15:14,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -25.8%, 저점 14000 대비 반등 +18.7%, 현재가 16620)"
2026-09-01T15:15:24,real,043260,성호전자,sell,장마감 전 일일 정리 매도
2026-09-01T15:15:32,real,328130,루닛,sell,장마감 전 일일 정리 매도
2026-09-02T09:05:10,real,052460,아이크래프트,hold,"하락폭은 충족하지만 아직 반등 확인 안 됨 (최근3일 저점 4765 대비 +0.5%, 기준 +3.0% 이상 필요)"
2026-09-02T09:05:11,real,142760,모아라이프플러스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1179 대비 -21.6%, 저점 707 대비 반등 +30.7%, 현재가 924)"
2026-09-02T09:05:48,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -19.8%, 저점 1706 대비 반등 +3.4%, 현재가 1764)"
2026-09-02T09:06:00,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -16.9%, 저점 4035 대비 반등 +12.9%, 현재가 4555)"
2026-09-02T09:06:01,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -20.0%, 저점 3330 대비 반등 +19.4%, 현재가 3975)"
2026-09-02T09:15:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -44.8%, 저점 4610 대비 반등 +3.1%, 현재가 4755)"
2026-09-02T09:15:08,real,142760,모아라이프플러스,sell,손절 라인 도달: 종목 -4.6% - 코스피 +0.1% = 상대 -4.7% (기준 -3.9%)
2026-09-02T09:15:34,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -19.4%, 저점 1706 대비 반등 +4.0%, 현재가 1774)"
2026-09-02T09:15:35,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -18.8%, 저점 4035 대비 반등 +10.3%, 현재가 4450)"
2026-09-02T09:15:45,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -21.0%, 저점 3330 대비 반등 +17.9%, 현재가 3925)"
2026-09-02T09:25:07,real,052460,아이크래프트,hold,"하락폭은 충족하지만 아직 반등 확인 안 됨 (최근3일 저점 4610 대비 +2.3%, 기준 +3.0% 이상 필요)"
2026-09-02T09:25:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -22.9%, 저점 12820 대비 반등 +16.3%, 현재가 14910)"
2026-09-02T09:25:10,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -19.0%, 저점 1706 대비 반등 +4.5%, 현재가 1783)"
2026-09-02T09:25:12,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.3%, 저점 4035 대비 반등 +9.7%, 현재가 4425)"
2026-09-02T09:25:13,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -18.6%, 저점 3330 대비 반등 +21.5%, 현재가 4045)"
2026-09-02T09:35:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -44.1%, 저점 4610 대비 반등 +4.4%, 현재가 4815)"
2026-09-02T09:35:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -23.3%, 저점 12820 대비 반등 +15.8%, 현재가 14840)"
2026-09-02T09:35:10,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -19.4%, 저점 1706 대비 반등 +4.0%, 현재가 1774)"
2026-09-02T09:35:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.2%, 저점 4035 대비 반등 +9.8%, 현재가 4430)"
2026-09-02T09:35:12,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -17.0%, 저점 3330 대비 반등 +23.9%, 현재가 4125)"
2026-09-02T09:45:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -41.2%, 저점 4610 대비 반등 +9.8%, 현재가 5060)"
2026-09-02T09:45:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -22.9%, 저점 12820 대비 반등 +16.4%, 현재가 14920)"
2026-09-02T09:45:09,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -19.0%, 저점 1706 대비 반등 +4.4%, 현재가 1781)"
2026-09-02T09:45:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -20.0%, 저점 4035 대비 반등 +8.7%, 현재가 4385)"
2026-09-02T09:45:12,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -19.0%, 저점 3330 대비 반등 +20.9%, 현재가 4025)"
2026-09-02T09:55:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -41.9%, 저점 4610 대비 반등 +8.5%, 현재가 5000)"
2026-09-02T09:55:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -23.0%, 저점 12820 대비 반등 +16.2%, 현재가 14900)"
2026-09-02T09:55:09,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -17.9%, 저점 1706 대비 반등 +5.9%, 현재가 1806)"
2026-09-02T09:55:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.3%, 저점 4035 대비 반등 +9.5%, 현재가 4420)"
2026-09-02T09:55:12,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -19.4%, 저점 3330 대비 반등 +20.3%, 현재가 4005)"
2026-09-02T10:05:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -42.9%, 저점 4610 대비 반등 +6.7%, 현재가 4920)"
2026-09-02T10:05:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -22.5%, 저점 12820 대비 반등 +17.0%, 현재가 15000)"
2026-09-02T10:05:09,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -17.4%, 저점 1706 대비 반등 +6.6%, 현재가 1818)"
2026-09-02T10:05:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.5%, 저점 4035 대비 반등 +9.3%, 현재가 4410)"
2026-09-02T10:05:12,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -19.5%, 저점 3330 대비 반등 +20.2%, 현재가 4002)"
2026-09-02T10:15:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -44.0%, 저점 4610 대비 반등 +4.6%, 현재가 4820)"
2026-09-02T10:15:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -23.5%, 저점 12820 대비 반등 +15.4%, 현재가 14800)"
2026-09-02T10:15:09,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -18.8%, 저점 1706 대비 반등 +4.7%, 현재가 1786)"
2026-09-02T10:15:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.8%, 저점 4035 대비 반등 +8.9%, 현재가 4395)"
2026-09-02T10:15:12,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -15.8%, 저점 3330 대비 반등 +25.7%, 현재가 4185)"
2026-09-02T10:25:09,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -43.7%, 저점 4610 대비 반등 +5.1%, 현재가 4845)"
2026-09-02T10:25:10,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -23.6%, 저점 12820 대비 반등 +15.3%, 현재가 14780)"
2026-09-02T10:25:11,real,210120,캔버스엔,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 2200 대비 -18.4%, 저점 1706 대비 반등 +5.2%, 현재가 1795)"
2026-09-02T10:25:13,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.1%, 저점 4035 대비 반등 +9.9%, 현재가 4435)"
2026-09-02T10:25:14,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -14.5%, 저점 3330 대비 반등 +27.6%, 현재가 4250)"
2026-09-02T10:35:07,real,052460,아이크래프트,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 8610 대비 -44.0%, 저점 4610 대비 반등 +4.7%, 현재가 4825)"
2026-09-02T10:35:08,real,033160,엠케이전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 19350 대비 -24.2%, 저점 12820 대비 반등 +14.4%, 현재가 14660)"
2026-09-02T10:35:09,real,210120,캔버스엔,hold,"하락폭은 충족하지만 아직 반등 확인 안 됨 (최근3일 저점 1706 대비 +2.7%, 기준 +3.0% 이상 필요)"
2026-09-02T10:35:11,real,261520,이지스,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 5480 대비 -19.6%, 저점 4035 대비 반등 +9.2%, 현재가 4405)"
2026-09-02T10:35:11,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -16.4%, 저점 3330 대비 반등 +24.8%, 현재가 4155)"
